5,9,0,65,283,Player4,78,0
6,9,0,65,342,Player4,23,0
7,9,0,65,429,Player4,33,0
8,168,0,65,429,Player1,83,0
9,168,152,65,429,Player2,48,0
10,251,152,65,429,Player1,36,0
11,251,245,65,429,Player2,68,0
12,251,245,245,429,Player3,45,0
13,251,245,245,446,Player4,48,0
14,331,245,245,446,Player1,32,0
15,430,245,245,446,Player1,32,0
16,430,245,245,546,Player4,36,0
1,0,0,0,148,Player4,23,0
2,0,175,0,148,Player2,106,0
3,0,175,0,204,Player4,32,0
4,0,175,84,204,Player3,50,0
5,0,175,84,291,Player4,23,0
6,94,175,84,291,Player1,67,0
7,94,175,178,291,Player3,50,0
8,94,175,240,291,Player3,32,0
9,94,175,328,291,Player3,56,0
10,388,175,328,291,Player1,18,0
11,388,175,410,291,Player3,53,0
12,388,175,410,351,Player4,100,0
13,388,209,410,351,Player2,143,0
14,388,209,410,381,Player4,27,0
15,388,251,410,381,Player2,42,0
16,514,251,410,381,Player1,105,0
